Happiness, Income
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Below average
Not too happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Above average
Very happy, Average
Very happy, Above average
Very happy, Above average
Pretty happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Below average
Not too happy, Below average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Below average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Not too happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Below average
Pretty happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Not too happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Very happy, Above average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Very happy, Below average
Not too happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Not too happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Pretty happy, Above average
Very happy, Average
Not too happy, Below average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Average
Not too happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Above average
Not too happy, Average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Above average
Very happy, Average
Very happy, Below average
Very happy, Below average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Above average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Average
Pretty happy, Below average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Below average
Not too happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Very happy, Above average
Very happy, Average
Very happy, Above average
Pretty happy, Above average
Very happy, Above average
Very happy, Below average
Pretty happy, Average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Pretty happy, Below average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Not too happy, Average
Very happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Not too happy, Above average
Very happy, Average
Very happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Not too happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Above average
Not too happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Average
Not too happy, Average
Very happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Above average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Very happy, Above average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Below average
Very happy, Average
Very happy, Above average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Below average
Pretty happy, Below average
Not too happy, Average
Very happy, Below average
Pretty happy, Below average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Above average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Above average
Not too happy, Below average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Very happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Above average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Very happy, Above average
Not too happy, Above average
Very happy, Average
Very happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Not too happy, Below average
Not too happy, Average
Not too happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Not too happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Not too happy, Average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Above average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Below average
Not too happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Above average
Not too happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Below average
Very happy, Above average
Not too happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Below average
Very happy, Average
Pretty happy, Above average
Very happy, Above average
Very happy, Average
Not too happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Above average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Above average
Not too happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Not too happy, Below average
Not too happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Above average
Pretty happy, Average
Very happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Very happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Above average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Very happy, Above average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Above average
Not too happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Very happy, Above average
Not too happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Above average
Pretty happy, Average
Not too happy, Below average
Very happy, Above average
Pretty happy, Below average
Not too happy, Below average
Very happy, Above average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Above average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Not too happy, Below average
Very happy, Average
Very happy, Average
Very happy, Above average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Average
Not too happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Above average
Not too happy, Below average
Not too happy, Below average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Above average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Below average
Very happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Not too happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Average
Very happy, Below average
Not too happy, Below average
Very happy, Above average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Below average
Not too happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Average
Very happy, Average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Below average
Pretty happy, Below average
Not too happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Not too happy, Average
Very happy, Average
Very happy, Below average
Not too happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Not too happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Above average
Not too happy, Below average
Pretty happy, Average
Not too happy, Above average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Average
Not too happy, Below average
Very happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Very happy, Average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Below average
Very happy, Below average
Very happy, Average
Pretty happy, Below average
Very happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Not too happy, Below average
Not too happy, Above average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Not too happy, Below average
Pretty happy, Average
Not too happy, Below average
Very happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Not too happy, Average
Very happy, Average
Very happy, Average
Very happy, Average
Very happy, Below average
Not too happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Average
Not too happy, Above average
Not too happy, Average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Not too happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Average
Very happy, Average
Not too happy, Above average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Above average
Not too happy, Average
Not too happy, Above average
Very happy, Average
Very happy, Average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Below average
Pretty happy, Below average
Not too happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Not too happy, Below average
Very happy, Above average
Very happy, Above average
Very happy, Below average
Very happy, Below average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Not too happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Below average
Not too happy, Average
Very happy, Below average
Very happy, Above average
Very happy, Below average
Not too happy, Below average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Average
Not too happy, Average
Very happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Not too happy, Average
Very happy, Average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Not too happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Below average
Very happy, Above average
Pretty happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Above average
Very happy, Average
Not too happy, Below average
Very happy, Average
Very happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Not too happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Above average
Very happy, Below average
Very happy, Above average
Pretty happy, Average
Not too happy, Below average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Not too happy, Below average
Very happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Below average
Very happy, Average
Pretty happy, Below average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Below average
Not too happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Average
Very happy, Below average
Not too happy, Average
Not too happy, Average
Not too happy, Below average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Very happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Above average
Pretty happy, Below average
Very happy, Above average
Very happy, Average
Very happy, Average
Pretty happy, Below average
Very happy, Below average
Very happy, Above average
Pretty happy, Average
Very happy, Above average
Very happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Not too happy, Above average
Pretty happy, Below average
Very happy, Average
Not too happy, Average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Very happy, Average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Above average
Pretty happy, Average
Very happy, Above average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Below average
Not too happy, Above average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Pretty happy, Below average
Very happy, Below average
Not too happy, Below average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Above average
Very happy, Average
Pretty happy, Average
Very happy, Average
Very happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Not too happy, Below average
Not too happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Not too happy, Below average
Pretty happy, Above average
Not too happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Very happy, Average
Very happy, Below average
Pretty happy, Average
Pretty happy, Below average
Very happy, Below average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Above average
Not too happy, Average
Pretty happy, Above average
Very happy, Below average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Below average
Not too happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Below average
Very happy, Above average
Very happy, Average
Pretty happy, Average
Not too happy, Average
Not too happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Above average
Pretty happy, Below average
Very happy, Above average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
Very happy, Average
Pretty happy, Above average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Average
Very happy, Above average
Very happy, Average
Pretty happy, Below average
Pretty happy, Above average
Not too happy, Below average
Very happy, Above average
Very happy, Average
Not too happy, Average
Very happy, Above average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Average
Pretty happy, Below average
Pretty happy, Average
Pretty happy, Below average
